"seen_total","question_6_pre","question_2_pre","question_4_pre","question_1_pre","question_3_pre","question_5_pre","engagement","survey_type","quiz_answer","engagement_1","engagement_3","engagement_2","question_2_post","question_3_post","question_5_post","question_6_post","question_1_post","question_4_post","demo_gender","demo_age","demo_asked","demo_school","demo_media","last.seen"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 20:28:16"
1,"","1","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 20:28:14"
2,"","","1","7","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 20:26:50"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 20:26:13"
3,"1","","","1","","1",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 20:25:59"
6,"7","1","5","6","7","1",0,"continuous","","","","","","","","","","","","",NA,"","","2021-05-10 20:25:28"
0,"1","1","1","1","1","1",1,"continuous","A","Yes","Yes","Yes","1","1","1","1","1","1","Male","45-65",1,"C","B","2021-05-10 20:25:23"
6,"4","4","4","1","3","4",0,"continuous","","","","","","","","","","","","",NA,"","","2021-05-10 20:23:38"
6,"2","2","1","5","2","4",0,"continuous","","","","","","","","","","","","",NA,"","","2021-05-10 20:22:21"
4,"3","7","6","","","3",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 20:21:59"
5,"1","1","","1","1","1",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 20:20:33"
4,"5","4","","7","4","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 20:19:58"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 20:19:25"
4,"","","1","6","1","1",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 20:15:33"
5,"2","1","","1","3","1",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 20:13:50"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 20:13:38"
6,"1","1","1","1","1","1",1,"continuous","","Yes","","","","","","","","","","",NA,"","","2021-05-10 20:09:18"
1,"7","6","7","7","7","6",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 20:06:58"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 20:04:03"
6,"2","2","3","1","4","2",1,"continuous","","Yes","","","","","","","","","","",NA,"","","2021-05-10 20:00:50"
0,"1","1","1","1","1","1",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 20:00:19"
1,"","2","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 19:59:14"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 19:58:46"
2,"","","1","","","1",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 19:57:39"
