seen_total,last seen,survey_type,engagement,engagement_1,engagement_2,engagement_3,quiz_answer,demo_gender,demo_age,demo_asked,demo_school,demo_media,question_2_pre,question_6_pre,question_4_pre,question_1_pre,question_3_pre,question_5_pre,question_2_post,question_3_post,question_6_post,question_5_post,question_1_post,question_4_post
0,2021-05-12 00:27:35,days,0,,,,A,,,,,,5,7,7,7,1,7,,,,,,
0,2021-05-12 00:02:27,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-11 23:14:02,days,1,STOP,STOP,STOP,STOP,,,,,,1,1,1,1,1,1,,,,,,
0,2021-05-11 22:52:10,,,,,,,,,,,,,,,,,,,,,,,
"",2021-05-11 22:37:55,,,,,,,,,,,,,,,,,,,,,,,
2,2021-05-11 22:29:12,,,,,,,,,,,,,5,,,,4,,,,,,
0,2021-05-11 22:14:37,,,,,,,,,,,,,,,,,,,,,,,
0,2021-05-11 22:08:59,continuous,0,,,,C,,,,,,1,4,4,4,4,2,,,,,,
6,2021-05-11 22:04:27,continuous,1,Yes,No,,,,,,,,6,7,6,6,5,7,,,,,,
2,2021-05-11 22:04:24,,,,,,,,,,,,,6,,6,7,,,,,,,
1,2021-05-11 21:57:03,,,,,,,,,,,,,3,,,,,,,,,,
6,2021-05-11 21:46:42,continuous,1,Yes,Yes,Yes,B,Female,Over 65,1,C,D,7,6,5,7,4,5,5,5,7,6,4,4
0,2021-05-11 21:31:05,,,,,,,,,,,,,,,,,,,,,,,
1,2021-05-11 21:08:10,,,,,,,,,,,,4,5,,4,4,5,,,,,,
6,2021-05-11 21:05:20,continuous,1,Yes,Yes,No,B,,,,,,1,5,6,6,1,6,1,1,1,5,1,1
0,2021-05-11 21:04:02,continuous,1,No,Yes,,,,,,,,7,7,7,2,7,7,,,,,,
6,2021-05-11 20:51:52,continuous,0,,,,,,,,,,1,2,3,1,2,2,,,,,,
0,2021-05-11 20:45:14,days,0,,,,,,,,,,1,3,3,1,5,1,,,,,,
0,2021-05-11 20:42:18,days,1,Yes,No,Yes,A,,,,,,1,7,5,1,6,2,,,,,,
0,2021-05-11 20:30:40,continuous,0,,,,D,,,,,,1,7,1,7,3,6,,,,,,
0,2021-05-11 20:27:47,continuous,1,Yes,Yes,Yes,A,,,,,,1,1,1,1,1,1,,,,,,
